	Classifier	Labeling Scheme	Prior	Feature Scheme	Deconvolver	Calibrator	method	method_key	pseudobulk_r2	tcs	tcs_per_sample	rank_pseudobulk	rank_tcs	avg_rank	rank_r2	rank_cosine_sim	rank_mse	rank_mae	rank_kl	rank_max_error	rank_loa_width	rank_worst_class_loa_width
244	lookup	soft_labels_without_pooling		top156	mlp	linear_simplex_projection	lookup / soft_labels_without_pooling / top156 / mlp / linear_simplex_projection	lookup|soft_labels_without_pooling||top156|mlp|linear_simplex_projection	0.9094759464566268	0.6843016324428373	0.6832734615384615	334.0	97.0	215.5	334.0	326.0	334.0	325.0	319.0	333.0	334.0	312.0
245	lookup	soft_labels_without_pooling		top156	swn	uncalibrated	lookup / soft_labels_without_pooling / top156 / swn / uncalibrated	lookup|soft_labels_without_pooling||top156|swn|uncalibrated	0.8862004219499117	0.6879874070848191	0.6829157686444185	347.0	86.0	216.5	347.0	347.0	347.0	346.0	318.0	329.0	347.0	315.0
246	dismir	canonical_soft_labels		top156	psls	vector_scaling	dismir / canonical_soft_labels / top156 / psls / vector_scaling	dismir|canonical_soft_labels||top156|psls|vector_scaling	0.9615900221179586	0.6689700435040191	0.653846923076923	288.0	146.0	217.0	288.0	306.0	288.0	291.0	312.0	346.0	288.0	337.0
247	methylbert	canonical_soft_labels		top156	mlp	linear_clip_normalize	methylbert / canonical_soft_labels / top156 / mlp / linear_clip_normalize	methylbert|canonical_soft_labels||top156|mlp|linear_clip_normalize	0.9784509427111636	0.578606749567086	0.5687584612602501	161.0	274.0	217.5	161.0	188.0	161.0	207.0	236.0	203.0	161.0	52.0
248	methylbert	hard_labels		diagbckg	nnls	uncalibrated	methylbert / hard_labels / diagbckg / nnls / uncalibrated	methylbert|hard_labels||diagbckg|nnls|uncalibrated	0.9805955797144666	0.4473814286001095	0.4272130769230769	116.0	319.0	217.5	116.0	109.0	116.0	127.0	242.0	75.5	116.0	119.0
249	methylbert	canonical_soft_labels		diagbckg	mlp	vector_scaling	methylbert / canonical_soft_labels / diagbckg / mlp / vector_scaling	methylbert|canonical_soft_labels||diagbckg|mlp|vector_scaling	0.9781435775883812	0.5796028456518442	0.5637607692307692	164.0	273.0	218.5	164.0	253.0	164.0	241.0	158.0	52.0	164.0	100.0
250	methylbert	hard_labels		diagbckg	psls	vector_scaling	methylbert / hard_labels / diagbckg / psls / vector_scaling	methylbert|hard_labels||diagbckg|psls|vector_scaling	0.9804015785645184	0.4497016951264497	0.4276438461538461	121.0	317.0	219.0	121.0	197.0	121.0	215.0	161.0	75.5	121.0	74.0
252	methylbert	soft_labels_without_pooling		top156	mlp	uncalibrated	methylbert / soft_labels_without_pooling / top156 / mlp / uncalibrated	methylbert|soft_labels_without_pooling||top156|mlp|uncalibrated	0.9742804344391224	0.6393882987948545	0.633301538149009	222.0	219.0	220.5	222.0	251.0	222.0	226.0	157.0	204.0	222.0	212.0
251	methylbert	hard_labels		top156	swn	vector_scaling	methylbert / hard_labels / top156 / swn / vector_scaling	methylbert|hard_labels||top156|swn|vector_scaling	0.979478004828608	0.5203052691293485	0.5043738461538462	143.0	298.0	220.5	143.0	204.0	143.0	195.0	80.0	134.0	143.0	110.0
253	methylbert	canonical_soft_labels		diagbckg	mlp	linear_clip_normalize	methylbert / canonical_soft_labels / diagbckg / mlp / linear_clip_normalize	methylbert|canonical_soft_labels||diagbckg|mlp|linear_clip_normalize	0.977811498769017	0.5765436031161861	0.5615773075740434	173.0	275.0	224.0	173.0	244.0	173.0	242.0	254.0	50.0	173.0	113.0
254	methylbert	hard_labels		diagbckg	psls	uncalibrated	methylbert / hard_labels / diagbckg / psls / uncalibrated	methylbert|hard_labels||diagbckg|psls|uncalibrated	0.9803529536955768	0.4163875943007543	0.3963784615384615	123.0	328.0	225.5	123.0	115.0	123.0	143.0	226.0	79.0	123.0	124.0
255	Houseman_ineq					vector_scaling	Houseman_ineq / vector_scaling	epidish_houseman|||||vector_scaling	0.9605289934145812	0.6659448619009677	0.6541042382409619	291.0	161.0	226.0	291.0	310.0	291.0	309.0	286.0	68.0	291.0	129.0
257	methylbert	soft_labels_without_pooling		top156	xgb	linear_simplex_projection	methylbert / soft_labels_without_pooling / top156 / xgb / linear_simplex_projection	methylbert|soft_labels_without_pooling||top156|xgb|linear_simplex_projection	0.974501224542801	0.6224762959110193	0.6143253846153847	216.0	237.0	226.5	216.0	175.0	216.0	161.0	258.0	193.0	216.0	67.0
256	dismir	canonical_soft_labels		diagbckg	nnls	uncalibrated	dismir / canonical_soft_labels / diagbckg / nnls / uncalibrated	dismir|canonical_soft_labels||diagbckg|nnls|uncalibrated	0.9658717560350494	0.6603376734959843	0.646098076923077	274.0	179.0	226.5	274.0	286.0	274.0	203.0	328.0	339.0	274.0	328.0
259	methylbert	canonical_soft_labels		diagbckg	mlp	linear_simplex_projection	methylbert / canonical_soft_labels / diagbckg / mlp / linear_simplex_projection	methylbert|canonical_soft_labels||diagbckg|mlp|linear_simplex_projection	0.9772268241508306	0.5821465847489331	0.5672111538461538	186.0	271.0	228.5	186.0	241.0	186.0	245.0	296.0	53.0	186.0	182.0
258	methylbert	hard_labels		diagbckg	swn	vector_scaling	methylbert / hard_labels / diagbckg / swn / vector_scaling	methylbert|hard_labels||diagbckg|swn|vector_scaling	0.9792447883696858	0.4787047790938785	0.4630934615384615	148.0	309.0	228.5	148.0	189.0	148.0	187.0	78.0	95.0	148.0	174.0
260	methylbert	soft_labels_with_pooling		top156	xgb	uncalibrated	methylbert / soft_labels_with_pooling / top156 / xgb / uncalibrated	methylbert|soft_labels_with_pooling||top156|xgb|uncalibrated	0.9726862832915044	0.6326150579665577	0.6285349997668022	236.0	225.0	230.5	236.0	123.0	236.0	205.0	101.0	179.0	236.0	155.0
261	lookup	soft_labels_without_pooling		top156	mlp	linear_clip_normalize	lookup / soft_labels_without_pooling / top156 / mlp / linear_clip_normalize	lookup|soft_labels_without_pooling||top156|mlp|linear_clip_normalize	0.8901049436213858	0.6754606274078391	0.6729553842162902	346.0	121.0	233.5	346.0	328.0	346.0	339.0	320.0	331.0	346.0	313.0
262	methylbert	hard_labels		top156	swn	linear_clip_normalize	methylbert / hard_labels / top156 / swn / linear_clip_normalize	methylbert|hard_labels||top156|swn|linear_clip_normalize	0.9783084816756776	0.5018291644314944	0.4867434615043187	163.0	305.0	234.0	163.0	186.0	163.0	169.0	204.0	145.0	163.0	171.0
