JobID|JobIDRaw|JobName|User|Account|Partition|State|Submit|Start|End|Elapsed|ElapsedRaw|Timelimit|NNodes|NodeList|NCPUS|ReqMem|MaxRSS|AllocTRES|ReqTRES|TotalCPU|CPUTimeRAW|ExitCode
59160980_2.batch|59160984.batch|batch||lccbe||COMPLETED|2026-04-28T14:40:05|2026-04-28T14:40:05|2026-04-28T18:16:59|03:36:54|13014||1|r24g40|7||11119.73M|cpu=7,gres/gpu:tesla=1,gres/gpu=1,mem=32768M,node=1||05:05:52|91098|0:0
59160980_2.extern|59160984.extern|extern||lccbe||COMPLETED|2026-04-28T14:40:05|2026-04-28T14:40:05|2026-04-28T18:16:59|03:36:54|13014||1|r24g40|7|||billing=74,cpu=7,gres/gpu:tesla=1,gres/gpu=1,mem=32768M,node=1||00:00:00|91098|0:0
59160980_3|59160980|lookup_pseudobulk|vsc37069|lccbe|gpu_p100|COMPLETED|2026-04-28T14:38:31|2026-04-28T14:40:46|2026-04-28T18:07:40|03:26:54|12414|10:00:00|1|r24g40|7|32768M||billing=74,cpu=7,gres/gpu:tesla=1,gres/gpu=1,mem=32768M,node=1|billing=4,cpu=1,gres/gpu=1,mem=32768M,node=1|05:31:39|86898|0:0
59160980_3.batch|59160980.batch|batch||lccbe||COMPLETED|2026-04-28T14:40:46|2026-04-28T14:40:46|2026-04-28T18:07:40|03:26:54|12414||1|r24g40|7||8313.53M|cpu=7,gres/gpu:tesla=1,gres/gpu=1,mem=32768M,node=1||05:31:39|86898|0:0
59160980_3.extern|59160980.extern|extern||lccbe||COMPLETED|2026-04-28T14:40:46|2026-04-28T14:40:46|2026-04-28T18:07:40|03:26:54|12414||1|r24g40|7|||billing=74,cpu=7,gres/gpu:tesla=1,gres/gpu=1,mem=32768M,node=1||00:00:00|86898|0:0
59161011_0|59161012|lookup_pseudobulk|vsc37069|lccbe|gpu_p100|COMPLETED|2026-04-28T15:23:18|2026-04-28T15:23:19|2026-04-28T15:40:06|00:16:47|1007|01:00:00|1|r23g36|7|32768M||billing=74,cpu=7,gres/gpu:tesla=1,gres/gpu=1,mem=32768M,node=1|billing=4,cpu=1,gres/gpu=1,mem=32768M,node=1|23:51.730|7049|0:0
59161011_0.batch|59161012.batch|batch||lccbe||COMPLETED|2026-04-28T15:23:19|2026-04-28T15:23:19|2026-04-28T15:40:06|00:16:47|1007||1|r23g36|7||3092.73M|cpu=7,gres/gpu:tesla=1,gres/gpu=1,mem=32768M,node=1||23:51.730|7049|0:0
59161011_0.extern|59161012.extern|extern||lccbe||COMPLETED|2026-04-28T15:23:19|2026-04-28T15:23:19|2026-04-28T15:40:06|00:16:47|1007||1|r23g36|7|||billing=74,cpu=7,gres/gpu:tesla=1,gres/gpu=1,mem=32768M,node=1||00:00:00|7049|0:0
59161011_1|59161013|lookup_pseudobulk|vsc37069|lccbe|gpu_p100|COMPLETED|2026-04-28T15:23:18|2026-04-28T15:23:19|2026-04-28T15:41:55|00:18:36|1116|01:00:00|1|r23g37|7|32768M||billing=74,cpu=7,gres/gpu:tesla=1,gres/gpu=1,mem=32768M,node=1|billing=4,cpu=1,gres/gpu=1,mem=32768M,node=1|26:19.432|7812|0:0
59161011_1.batch|59161013.batch|batch||lccbe||COMPLETED|2026-04-28T15:23:19|2026-04-28T15:23:19|2026-04-28T15:41:55|00:18:36|1116||1|r23g37|7||5100.60M|cpu=7,gres/gpu:tesla=1,gres/gpu=1,mem=32768M,node=1||26:19.432|7812|0:0
59161011_1.extern|59161013.extern|extern||lccbe||COMPLETED|2026-04-28T15:23:19|2026-04-28T15:23:19|2026-04-28T15:41:56|00:18:37|1117||1|r23g37|7|||billing=74,cpu=7,gres/gpu:tesla=1,gres/gpu=1,mem=32768M,node=1||00:00:00|7819|0:0
59161011_2|59161014|lookup_pseudobulk|vsc37069|lccbe|gpu_p100|COMPLETED|2026-04-28T15:23:18|2026-04-28T15:23:19|2026-04-28T15:38:44|00:15:25|925|01:00:00|1|r23g37|7|32768M||billing=74,cpu=7,gres/gpu:tesla=1,gres/gpu=1,mem=32768M,node=1|billing=4,cpu=1,gres/gpu=1,mem=32768M,node=1|21:47.255|6475|0:0
59161011_2.batch|59161014.batch|batch||lccbe||COMPLETED|2026-04-28T15:23:19|2026-04-28T15:23:19|2026-04-28T15:38:44|00:15:25|925||1|r23g37|7||5205.55M|cpu=7,gres/gpu:tesla=1,gres/gpu=1,mem=32768M,node=1||21:47.255|6475|0:0
59161011_2.extern|59161014.extern|extern||lccbe||COMPLETED|2026-04-28T15:23:19|2026-04-28T15:23:19|2026-04-28T15:38:44|00:15:25|925||1|r23g37|7|||billing=74,cpu=7,gres/gpu:tesla=1,gres/gpu=1,mem=32768M,node=1||00:00:00|6475|0:0
59161011_3|59161015|lookup_pseudobulk|vsc37069|lccbe|gpu_p100|COMPLETED|2026-04-28T15:23:18|2026-04-28T15:23:19|2026-04-28T15:39:38|00:16:19|979|01:00:00|1|r23g37|7|32768M||billing=74,cpu=7,gres/gpu:tesla=1,gres/gpu=1,mem=32768M,node=1|billing=4,cpu=1,gres/gpu=1,mem=32768M,node=1|22:29.201|6853|0:0
